Disease,Location,Year,R0,Lower,Upper,Citation,Notes
HIV,Belgium,2004-2010,1.1,1.09,1.16,\cite{coelho2011},effective reproduction #
HIV,Netherlands,2004-2010,1.11,1.1,1.18,\cite{coelho2011},effective reproduction #
HIV,Portugal,2004-2010,1.08,1.06,1.15,\cite{coelho2011},effective reproduction #
HIV,"San Francisco, USA",1993,5,2,8,\cite{blower1994},
HIV,Uganda,2002-2008,3.31,0.12,14.17,\cite{nsubuga2014},assortative mixing (p7)
ZIKV,French Polynesia,2013,2.75,2.53,2.98,\cite{zhang2017},
ZIKV,French Polynesia,2013-2014,3.7,2.6,4.8,\cite{kucharski2016},i took the average
ZIKV,Florida,2016,0.16,0.13,0.19,\cite{dinh2016},
ZIKV,Colombia,2015-2016,2.5,3,3.6,\cite{nishiura2016},(Assuming exponential growth for 5 weeks)
ZIKV,"Barranquilla, Colombia",2015,2.4,3.8,5.6,\cite{towers2016},exponential growth
ZIKV,Colombia,2015,1.42,2.56,3.83,\cite{majumder2016},"Incidence Decay and Exponential Adjustment (IDEA), minimizes sum of squares"
Ebola,Western Africa,2014,1.78,1.6,2,\cite{fisman2014},IDEA model d=.009
Ebola virus disease,Western Africa,2014,1.6,1.4,1.8,\cite{towers2014},"SEIR, exp growth, actually R_eff assuming incubation =7 days and infectious period is 7 days"
EVD,Democratic Republic of the Congo,1995,2.7,1.9,2.8,\cite{legrand2007},"SEIHFR, control measures important"
EVD,Uganda,2000,2.7,2.5,4.1,\cite{legrand2007},
EVD,Guinea,2014,1.51,1.5,1.52,\cite{althaus2014},"MLE, SEIR"
EVD,Sierra Leone,2014,2.53,2.41,2.67,\cite{althaus2014},
EVD,Liberia,2014,1.59,1.57,1.6,\cite{althaus2014},
Seasonal Influenza,"USA, France, Australia","1972-2002,1972-1997,1972-1997",1.3,1.2,1.4,\cite{chowell2008},"SEIPD, least squares fitting, Rp mean reproduction number, IQR * 1.5 not 95% CI, used parametric bootstrap"
Seasonal Influenza,French Territory,1987-1995,1.5,1.09,1.73,\cite{bonabeau1998},"local/global parameters.  add to thesis lit, concludes macroscopic modelling is a-ok except near the peak"
H1N1 Influenza,Thailand,2009,2.07,1.92,2.22,\cite{desilva2009},(for mean generation interval of 2.6
H1NN1 Influenza,Peru,2009,1.37,1.2,1.7,\cite{desilva2009},
H1N1 Influenza,La GloriaMexico,2009,1.58,1.34,1.6,\cite{fraser2009},age stratified